Suburb,Children,Yadult,Oadult,Old
Unincorporated WA,0,0,0,0
No usual address,0,0,0,0
Break O'Day,1029,1263,3184,954
Brighton,3895,5212,5673,1033
Burnie,3930,6261,7505,2290
Central Coast,4131,5737,9613,2866
Central Highlands,409,582,1111,253
Circular Head,1805,2414,3271,797
Clarence,9943,15814,21356,6469
Derwent Valley,1945,2832,4112,997
Devonport,4911,7512,9744,3461
Dorset,1313,1764,3036,1045
Flinders,116,95,482,91
George Town,1412,1752,2888,776
Glamorgan/Spring Bay,596,809,2287,745
Glenorchy,8522,14809,16654,5552
Hobart,7244,18935,19135,5159
Huon Valley,3163,4194,7081,1721
Kentish,1223,1628,3003,641
King Island,239,412,736,218
Kingborough,7245,10138,14091,3727
Latrobe,1916,2784,4560,1395
Launceston,12022,23012,24438,7563
Meander Valley,3545,5239,8370,2389
Northern Midlands,2397,3349,5477,1531
Sorell,2604,3950,5570,1413
Southern Midlands,1260,1609,2828,574
Tasman,388,405,1186,384
Waratah/Wynyard,2594,3835,6021,1841
West Coast,905,1413,1941,448
West Tamar,4404,5893,9904,2811
Unincorporated Tas,0,0,0,0
No usual address (Tas.),0,0,0,0
Alice Springs,6267,11121,10272,1060
Barkly,2132,3245,2377,302
Belyuen,57,91,58,7
Central Desert,1216,1855,1187,125
Coomalie,181,357,703,69
Darwin,14932,33736,29425,3577
East Arnhem,3190,4848,2574,160
Katherine,2691,4028,3809,400
Litchfield,4127,7379,9105,769
MacDonnell,1635,3250,1877,158
Palmerston,8230,14165,8878,815
Roper Gulf,2111,3058,1866,181
Tiwi Islands,763,1390,887,54
Victoria-Daly,2320,2852,1654,163
Wagait,57,87,264,26
West Arnhem,2034,3260,2015,105
Unincorporated NT,1860,3890,3303,119
No usual address,0,0,0,0
Unincorporated ACT,70451,150328,132627,28082
No usual address,0,0,0,0
Unincorp. Other Territories,507,1434,1132,111
No usual address,0,0,0,0
