Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
South Eastern,Eurobodalla,Theft,Steal from retail store,2410
South Eastern,Eurobodalla,Theft,Steal from dwelling,3918
South Eastern,Eurobodalla,Theft,Steal from person,317
South Eastern,Eurobodalla,Theft,Stock theft,76
South Eastern,Eurobodalla,Theft,Fraud,1934
South Eastern,Eurobodalla,Theft,Other theft,5901
South Eastern,Eurobodalla,Arson,,458
South Eastern,Eurobodalla,Malicious damage to property,,11949
South Eastern,Eurobodalla,Drug offences,Possession and/or use of cocaine,12
South Eastern,Eurobodalla,Drug offences,Possession and/or use of narcotics,23
South Eastern,Eurobodalla,Drug offences,Possession and/or use of cannabis,3429
South Eastern,Eurobodalla,Drug offences,Possession and/or use of amphetamines,191
South Eastern,Eurobodalla,Drug offences,Possession and/or use of ecstasy,58
South Eastern,Eurobodalla,Drug offences,Possession and/or use of other drugs,125
South Eastern,Eurobodalla,Drug offences,"Dealing, trafficking in cocaine",0
South Eastern,Eurobodalla,Drug offences,"Dealing, trafficking in narcotics",1
South Eastern,Eurobodalla,Drug offences,"Dealing, trafficking in cannabis",245
South Eastern,Eurobodalla,Drug offences,"Dealing, trafficking in amphetamines",115
South Eastern,Eurobodalla,Drug offences,"Dealing, trafficking in ecstasy",34
South Eastern,Eurobodalla,Drug offences,"Dealing, trafficking in other drugs",36
South Eastern,Eurobodalla,Drug offences,Cultivating cannabis,798
South Eastern,Eurobodalla,Drug offences,Manufacture drug,9
South Eastern,Eurobodalla,Drug offences,Importing drugs,0
South Eastern,Eurobodalla,Drug offences,Other drug offences,970
South Eastern,Eurobodalla,Prohibited and regulated weapons offences,,1122
South Eastern,Eurobodalla,Disorderly conduct,Trespass,1439
South Eastern,Eurobodalla,Disorderly conduct,Offensive conduct,1850
South Eastern,Eurobodalla,Disorderly conduct,Offensive language,1407
South Eastern,Eurobodalla,Disorderly conduct,Criminal intent,263
South Eastern,Eurobodalla,Betting and gaming offences,,6
South Eastern,Eurobodalla,Liquor offences,,2852
South Eastern,Eurobodalla,Pornography offences,,8
South Eastern,Eurobodalla,Prostitution offences,,3
South Eastern,Eurobodalla,Against justice procedures,Escape custody,53
South Eastern,Eurobodalla,Against justice procedures,Breach Apprehended Violence Order,1910
South Eastern,Eurobodalla,Against justice procedures,Breach bail conditions,1248
South Eastern,Eurobodalla,Against justice procedures,Fail to appear,200
South Eastern,Eurobodalla,Against justice procedures,Resist or hinder officer,1294
South Eastern,Eurobodalla,Against justice procedures,Other offences against justice procedures,306
South Eastern,Eurobodalla,Transport regulatory offences,,27
South Eastern,Eurobodalla,Other offences,,3313
South Eastern,Goulburn Mulwaree,Homicide,Murder (a),12
South Eastern,Goulburn Mulwaree,Homicide,Attempted murder,5
South Eastern,Goulburn Mulwaree,Homicide,"Murder accessory, conspiracy",1
South Eastern,Goulburn Mulwaree,Homicide,Manslaughter (a),3
South Eastern,Goulburn Mulwaree,Assault,Domestic violence related assault,2631
South Eastern,Goulburn Mulwaree,Assault,Non-domestic violence related assault,4598
South Eastern,Goulburn Mulwaree,Assault,Assault Police,393
South Eastern,Goulburn Mulwaree,Sexual offences,Sexual assault,575
South Eastern,Goulburn Mulwaree,Sexual offences,"Indecent assault, act of indecency and other sexual offences",700
South Eastern,Goulburn Mulwaree,Abduction and kidnapping,,37
South Eastern,Goulburn Mulwaree,Robbery,Robbery without a weapon,127
South Eastern,Goulburn Mulwaree,Robbery,Robbery with a firearm,10
South Eastern,Goulburn Mulwaree,Robbery,Robbery with a weapon not a firearm,57
South Eastern,Goulburn Mulwaree,Blackmail and extortion,,6
South Eastern,Goulburn Mulwaree,"Harassment, threatening behaviour and private nuisance",,2369
South Eastern,Goulburn Mulwaree,Other offences against the person,,206
South Eastern,Goulburn Mulwaree,Theft,Break and enter dwelling,3386
South Eastern,Goulburn Mulwaree,Theft,Break and enter non-dwelling,2614
South Eastern,Goulburn Mulwaree,Theft,Receiving or handling stolen goods,866
South Eastern,Goulburn Mulwaree,Theft,Motor vehicle theft,1442
South Eastern,Goulburn Mulwaree,Theft,Steal from motor vehicle,2870
South Eastern,Goulburn Mulwaree,Theft,Steal from retail store,1712
South Eastern,Goulburn Mulwaree,Theft,Steal from dwelling,3327
South Eastern,Goulburn Mulwaree,Theft,Steal from person,337
South Eastern,Goulburn Mulwaree,Theft,Stock theft,341
South Eastern,Goulburn Mulwaree,Theft,Fraud,3018
South Eastern,Goulburn Mulwaree,Theft,Other theft,3708
South Eastern,Goulburn Mulwaree,Arson,,339
South Eastern,Goulburn Mulwaree,Malicious damage to property,,12975
South Eastern,Goulburn Mulwaree,Drug offences,Possession and/or use of cocaine,24
South Eastern,Goulburn Mulwaree,Drug offences,Possession and/or use of narcotics,78
South Eastern,Goulburn Mulwaree,Drug offences,Possession and/or use of cannabis,2326
South Eastern,Goulburn Mulwaree,Drug offences,Possession and/or use of amphetamines,296
South Eastern,Goulburn Mulwaree,Drug offences,Possession and/or use of ecstasy,55
South Eastern,Goulburn Mulwaree,Drug offences,Possession and/or use of other drugs,141
South Eastern,Goulburn Mulwaree,Drug offences,"Dealing, trafficking in cocaine",3
South Eastern,Goulburn Mulwaree,Drug offences,"Dealing, trafficking in narcotics",39
South Eastern,Goulburn Mulwaree,Drug offences,"Dealing, trafficking in cannabis",192
South Eastern,Goulburn Mulwaree,Drug offences,"Dealing, trafficking in amphetamines",198
South Eastern,Goulburn Mulwaree,Drug offences,"Dealing, trafficking in ecstasy",72
South Eastern,Goulburn Mulwaree,Drug offences,"Dealing, trafficking in other drugs",12
South Eastern,Goulburn Mulwaree,Drug offences,Cultivating cannabis,206
South Eastern,Goulburn Mulwaree,Drug offences,Manufacture drug,5
South Eastern,Goulburn Mulwaree,Drug offences,Importing drugs,1
South Eastern,Goulburn Mulwaree,Drug offences,Other drug offences,819
South Eastern,Goulburn Mulwaree,Prohibited and regulated weapons offences,,1363
South Eastern,Goulburn Mulwaree,Disorderly conduct,Trespass,1604
South Eastern,Goulburn Mulwaree,Disorderly conduct,Offensive conduct,1657
South Eastern,Goulburn Mulwaree,Disorderly conduct,Offensive language,1476
South Eastern,Goulburn Mulwaree,Disorderly conduct,Criminal intent,157
South Eastern,Goulburn Mulwaree,Betting and gaming offences,,3
South Eastern,Goulburn Mulwaree,Liquor offences,,2679
South Eastern,Goulburn Mulwaree,Pornography offences,,25
South Eastern,Goulburn Mulwaree,Prostitution offences,,0
South Eastern,Goulburn Mulwaree,Against justice procedures,Escape custody,49
South Eastern,Goulburn Mulwaree,Against justice procedures,Breach Apprehended Violence Order,1425
South Eastern,Goulburn Mulwaree,Against justice procedures,Breach bail conditions,1120
South Eastern,Goulburn Mulwaree,Against justice procedures,Fail to appear,84
South Eastern,Goulburn Mulwaree,Against justice procedures,Resist or hinder officer,1177
South Eastern,Goulburn Mulwaree,Against justice procedures,Other offences against justice procedures,227
South Eastern,Goulburn Mulwaree,Transport regulatory offences,,191
South Eastern,Goulburn Mulwaree,Other offences,,2265
South Eastern,Harden,Homicide,Murder (a),1
South Eastern,Harden,Homicide,Attempted murder,0
South Eastern,Harden,Homicide,"Murder accessory, conspiracy",0
South Eastern,Harden,Homicide,Manslaughter (a),0
South Eastern,Harden,Assault,Domestic violence related assault,273
South Eastern,Harden,Assault,Non-domestic violence related assault,394
South Eastern,Harden,Assault,Assault Police,35
South Eastern,Harden,Sexual offences,Sexual assault,65
South Eastern,Harden,Sexual offences,"Indecent assault, act of indecency and other sexual offences",72
South Eastern,Harden,Abduction and kidnapping,,1
South Eastern,Harden,Robbery,Robbery without a weapon,3
South Eastern,Harden,Robbery,Robbery with a firearm,0
South Eastern,Harden,Robbery,Robbery with a weapon not a firearm,3
South Eastern,Harden,Blackmail and extortion,,0
South Eastern,Harden,"Harassment, threatening behaviour and private nuisance",,347
South Eastern,Harden,Other offences against the person,,31
South Eastern,Harden,Theft,Break and enter dwelling,276
South Eastern,Harden,Theft,Break and enter non-dwelling,352
South Eastern,Harden,Theft,Receiving or handling stolen goods,43
South Eastern,Harden,Theft,Motor vehicle theft,102
South Eastern,Harden,Theft,Steal from motor vehicle,256
South Eastern,Harden,Theft,Steal from retail store,56
South Eastern,Harden,Theft,Steal from dwelling,274
South Eastern,Harden,Theft,Steal from person,17
South Eastern,Harden,Theft,Stock theft,139
South Eastern,Harden,Theft,Fraud,238
South Eastern,Harden,Theft,Other theft,335
South Eastern,Harden,Arson,,56
South Eastern,Harden,Malicious damage to property,,883
South Eastern,Harden,Drug offences,Possession and/or use of cocaine,1
South Eastern,Harden,Drug offences,Possession and/or use of narcotics,7
South Eastern,Harden,Drug offences,Possession and/or use of cannabis,148
South Eastern,Harden,Drug offences,Possession and/or use of amphetamines,25
South Eastern,Harden,Drug offences,Possession and/or use of ecstasy,1
South Eastern,Harden,Drug offences,Possession and/or use of other drugs,8
South Eastern,Harden,Drug offences,"Dealing, trafficking in cocaine",0
South Eastern,Harden,Drug offences,"Dealing, trafficking in narcotics",1
South Eastern,Harden,Drug offences,"Dealing, trafficking in cannabis",4
South Eastern,Harden,Drug offences,"Dealing, trafficking in amphetamines",7
South Eastern,Harden,Drug offences,"Dealing, trafficking in ecstasy",0
South Eastern,Harden,Drug offences,"Dealing, trafficking in other drugs",1
South Eastern,Harden,Drug offences,Cultivating cannabis,30
South Eastern,Harden,Drug offences,Manufacture drug,0
South Eastern,Harden,Drug offences,Importing drugs,0
South Eastern,Harden,Drug offences,Other drug offences,44
South Eastern,Harden,Prohibited and regulated weapons offences,,112
South Eastern,Harden,Disorderly conduct,Trespass,176
South Eastern,Harden,Disorderly conduct,Offensive conduct,127
South Eastern,Harden,Disorderly conduct,Offensive language,138
South Eastern,Harden,Disorderly conduct,Criminal intent,12
South Eastern,Harden,Betting and gaming offences,,2
South Eastern,Harden,Liquor offences,,309
South Eastern,Harden,Pornography offences,,7
South Eastern,Harden,Prostitution offences,,0
South Eastern,Harden,Against justice procedures,Escape custody,2
South Eastern,Harden,Against justice procedures,Breach Apprehended Violence Order,197
South Eastern,Harden,Against justice procedures,Breach bail conditions,60
South Eastern,Harden,Against justice procedures,Fail to appear,9
South Eastern,Harden,Against justice procedures,Resist or hinder officer,86
South Eastern,Harden,Against justice procedures,Other offences against justice procedures,11
South Eastern,Harden,Transport regulatory offences,,18
South Eastern,Harden,Other offences,,280
South Eastern,Palerang,Homicide,Murder (a),2
South Eastern,Palerang,Homicide,Attempted murder,3
South Eastern,Palerang,Homicide,"Murder accessory, conspiracy",0
South Eastern,Palerang,Homicide,Manslaughter (a),0
South Eastern,Palerang,Assault,Domestic violence related assault,544
South Eastern,Palerang,Assault,Non-domestic violence related assault,657
South Eastern,Palerang,Assault,Assault Police,32
South Eastern,Palerang,Sexual offences,Sexual assault,141
South Eastern,Palerang,Sexual offences,"Indecent assault, act of indecency and other sexual offences",195
South Eastern,Palerang,Abduction and kidnapping,,5
South Eastern,Palerang,Robbery,Robbery without a weapon,6
South Eastern,Palerang,Robbery,Robbery with a firearm,0
South Eastern,Palerang,Robbery,Robbery with a weapon not a firearm,10
South Eastern,Palerang,Blackmail and extortion,,0
South Eastern,Palerang,"Harassment, threatening behaviour and private nuisance",,587
South Eastern,Palerang,Other offences against the person,,47
South Eastern,Palerang,Theft,Break and enter dwelling,906
South Eastern,Palerang,Theft,Break and enter non-dwelling,773
South Eastern,Palerang,Theft,Receiving or handling stolen goods,107
South Eastern,Palerang,Theft,Motor vehicle theft,412
South Eastern,Palerang,Theft,Steal from motor vehicle,584
South Eastern,Palerang,Theft,Steal from retail store,79
South Eastern,Palerang,Theft,Steal from dwelling,701
South Eastern,Palerang,Theft,Steal from person,23
South Eastern,Palerang,Theft,Stock theft,266
South Eastern,Palerang,Theft,Fraud,445
South Eastern,Palerang,Theft,Other theft,969
South Eastern,Palerang,Arson,,198
South Eastern,Palerang,Malicious damage to property,,1913
South Eastern,Palerang,Drug offences,Possession and/or use of cocaine,4
South Eastern,Palerang,Drug offences,Possession and/or use of narcotics,13
South Eastern,Palerang,Drug offences,Possession and/or use of cannabis,555
South Eastern,Palerang,Drug offences,Possession and/or use of amphetamines,26
South Eastern,Palerang,Drug offences,Possession and/or use of ecstasy,7
South Eastern,Palerang,Drug offences,Possession and/or use of other drugs,14
South Eastern,Palerang,Drug offences,"Dealing, trafficking in cocaine",0
South Eastern,Palerang,Drug offences,"Dealing, trafficking in narcotics",2
South Eastern,Palerang,Drug offences,"Dealing, trafficking in cannabis",12
South Eastern,Palerang,Drug offences,"Dealing, trafficking in amphetamines",13
South Eastern,Palerang,Drug offences,"Dealing, trafficking in ecstasy",1
South Eastern,Palerang,Drug offences,"Dealing, trafficking in other drugs",0
South Eastern,Palerang,Drug offences,Cultivating cannabis,152
South Eastern,Palerang,Drug offences,Manufacture drug,0
South Eastern,Palerang,Drug offences,Importing drugs,0
South Eastern,Palerang,Drug offences,Other drug offences,133
South Eastern,Palerang,Prohibited and regulated weapons offences,,714
South Eastern,Palerang,Disorderly conduct,Trespass,403
South Eastern,Palerang,Disorderly conduct,Offensive conduct,97
South Eastern,Palerang,Disorderly conduct,Offensive language,78
South Eastern,Palerang,Disorderly conduct,Criminal intent,24
South Eastern,Palerang,Betting and gaming offences,,38
South Eastern,Palerang,Liquor offences,,353
South Eastern,Palerang,Pornography offences,,2
South Eastern,Palerang,Prostitution offences,,0
South Eastern,Palerang,Against justice procedures,Escape custody,3
South Eastern,Palerang,Against justice procedures,Breach Apprehended Violence Order,154
South Eastern,Palerang,Against justice procedures,Breach bail conditions,36
South Eastern,Palerang,Against justice procedures,Fail to appear,8
South Eastern,Palerang,Against justice procedures,Resist or hinder officer,89
South Eastern,Palerang,Against justice procedures,Other offences against justice procedures,29
South Eastern,Palerang,Transport regulatory offences,,12
South Eastern,Palerang,Other offences,,1092
South Eastern,Queanbeyan,Homicide,Murder (a),6
South Eastern,Queanbeyan,Homicide,Attempted murder,5
South Eastern,Queanbeyan,Homicide,"Murder accessory, conspiracy",0
South Eastern,Queanbeyan,Homicide,Manslaughter (a),1
South Eastern,Queanbeyan,Assault,Domestic violence related assault,3126
South Eastern,Queanbeyan,Assault,Non-domestic violence related assault,4599
South Eastern,Queanbeyan,Assault,Assault Police,473
South Eastern,Queanbeyan,Sexual offences,Sexual assault,498
South Eastern,Queanbeyan,Sexual offences,"Indecent assault, act of indecency and other sexual offences",549
South Eastern,Queanbeyan,Abduction and kidnapping,,35
South Eastern,Queanbeyan,Robbery,Robbery without a weapon,239
South Eastern,Queanbeyan,Robbery,Robbery with a firearm,14
South Eastern,Queanbeyan,Robbery,Robbery with a weapon not a firearm,107
South Eastern,Queanbeyan,Blackmail and extortion,,2
South Eastern,Queanbeyan,"Harassment, threatening behaviour and private nuisance",,2458
South Eastern,Queanbeyan,Other offences against the person,,198
South Eastern,Queanbeyan,Theft,Break and enter dwelling,6791
South Eastern,Queanbeyan,Theft,Break and enter non-dwelling,3167
South Eastern,Queanbeyan,Theft,Receiving or handling stolen goods,1192
South Eastern,Queanbeyan,Theft,Motor vehicle theft,2905
South Eastern,Queanbeyan,Theft,Steal from motor vehicle,7593
South Eastern,Queanbeyan,Theft,Steal from retail store,2521
South Eastern,Queanbeyan,Theft,Steal from dwelling,3395
South Eastern,Queanbeyan,Theft,Steal from person,544
South Eastern,Queanbeyan,Theft,Stock theft,59
South Eastern,Queanbeyan,Theft,Fraud,3343
South Eastern,Queanbeyan,Theft,Other theft,3886
South Eastern,Queanbeyan,Arson,,688
South Eastern,Queanbeyan,Malicious damage to property,,12903
South Eastern,Queanbeyan,Drug offences,Possession and/or use of cocaine,9
South Eastern,Queanbeyan,Drug offences,Possession and/or use of narcotics,88
South Eastern,Queanbeyan,Drug offences,Possession and/or use of cannabis,2275
South Eastern,Queanbeyan,Drug offences,Possession and/or use of amphetamines,326
South Eastern,Queanbeyan,Drug offences,Possession and/or use of ecstasy,34
South Eastern,Queanbeyan,Drug offences,Possession and/or use of other drugs,147
South Eastern,Queanbeyan,Drug offences,"Dealing, trafficking in cocaine",0
South Eastern,Queanbeyan,Drug offences,"Dealing, trafficking in narcotics",49
South Eastern,Queanbeyan,Drug offences,"Dealing, trafficking in cannabis",147
South Eastern,Queanbeyan,Drug offences,"Dealing, trafficking in amphetamines",137
South Eastern,Queanbeyan,Drug offences,"Dealing, trafficking in ecstasy",13
South Eastern,Queanbeyan,Drug offences,"Dealing, trafficking in other drugs",17
South Eastern,Queanbeyan,Drug offences,Cultivating cannabis,264
South Eastern,Queanbeyan,Drug offences,Manufacture drug,1
South Eastern,Queanbeyan,Drug offences,Importing drugs,2
South Eastern,Queanbeyan,Drug offences,Other drug offences,539
South Eastern,Queanbeyan,Prohibited and regulated weapons offences,,1291
South Eastern,Queanbeyan,Disorderly conduct,Trespass,996
South Eastern,Queanbeyan,Disorderly conduct,Offensive conduct,949
South Eastern,Queanbeyan,Disorderly conduct,Offensive language,1100
South Eastern,Queanbeyan,Disorderly conduct,Criminal intent,263
South Eastern,Queanbeyan,Betting and gaming offences,,56
South Eastern,Queanbeyan,Liquor offences,,1072
South Eastern,Queanbeyan,Pornography offences,,38
South Eastern,Queanbeyan,Prostitution offences,,1
South Eastern,Queanbeyan,Against justice procedures,Escape custody,42
South Eastern,Queanbeyan,Against justice procedures,Breach Apprehended Violence Order,1333
South Eastern,Queanbeyan,Against justice procedures,Breach bail conditions,1229
South Eastern,Queanbeyan,Against justice procedures,Fail to appear,148
South Eastern,Queanbeyan,Against justice procedures,Resist or hinder officer,934
South Eastern,Queanbeyan,Against justice procedures,Other offences against justice procedures,471
South Eastern,Queanbeyan,Transport regulatory offences,,60
South Eastern,Queanbeyan,Other offences,,2145
South Eastern,Snowy River,Homicide,Murder (a),2
South Eastern,Snowy River,Homicide,Attempted murder,2
South Eastern,Snowy River,Homicide,"Murder accessory, conspiracy",1
South Eastern,Snowy River,Homicide,Manslaughter (a),0
South Eastern,Snowy River,Assault,Domestic violence related assault,362
South Eastern,Snowy River,Assault,Non-domestic violence related assault,966
South Eastern,Snowy River,Assault,Assault Police,49
South Eastern,Snowy River,Sexual offences,Sexual assault,94
South Eastern,Snowy River,Sexual offences,"Indecent assault, act of indecency and other sexual offences",134
South Eastern,Snowy River,Abduction and kidnapping,,3
South Eastern,Snowy River,Robbery,Robbery without a weapon,5
South Eastern,Snowy River,Robbery,Robbery with a firearm,0
South Eastern,Snowy River,Robbery,Robbery with a weapon not a firearm,4
South Eastern,Snowy River,Blackmail and extortion,,0
South Eastern,Snowy River,"Harassment, threatening behaviour and private nuisance",,417
South Eastern,Snowy River,Other offences against the person,,51
South Eastern,Snowy River,Theft,Break and enter dwelling,455
South Eastern,Snowy River,Theft,Break and enter non-dwelling,628
South Eastern,Snowy River,Theft,Receiving or handling stolen goods,98
South Eastern,Snowy River,Theft,Motor vehicle theft,156
South Eastern,Snowy River,Theft,Steal from motor vehicle,836
South Eastern,Snowy River,Theft,Steal from retail store,200
South Eastern,Snowy River,Theft,Steal from dwelling,463
South Eastern,Snowy River,Theft,Steal from person,168
South Eastern,Snowy River,Theft,Stock theft,153
South Eastern,Snowy River,Theft,Fraud,844
South Eastern,Snowy River,Theft,Other theft,3795
South Eastern,Snowy River,Arson,,66
South Eastern,Snowy River,Malicious damage to property,,2224
South Eastern,Snowy River,Drug offences,Possession and/or use of cocaine,23
South Eastern,Snowy River,Drug offences,Possession and/or use of narcotics,1
South Eastern,Snowy River,Drug offences,Possession and/or use of cannabis,682
South Eastern,Snowy River,Drug offences,Possession and/or use of amphetamines,79
South Eastern,Snowy River,Drug offences,Possession and/or use of ecstasy,90
South Eastern,Snowy River,Drug offences,Possession and/or use of other drugs,35
South Eastern,Snowy River,Drug offences,"Dealing, trafficking in cocaine",4
South Eastern,Snowy River,Drug offences,"Dealing, trafficking in narcotics",0
South Eastern,Snowy River,Drug offences,"Dealing, trafficking in cannabis",83
South Eastern,Snowy River,Drug offences,"Dealing, trafficking in amphetamines",83
South Eastern,Snowy River,Drug offences,"Dealing, trafficking in ecstasy",110
South Eastern,Snowy River,Drug offences,"Dealing, trafficking in other drugs",35
South Eastern,Snowy River,Drug offences,Cultivating cannabis,92
South Eastern,Snowy River,Drug offences,Manufacture drug,1
South Eastern,Snowy River,Drug offences,Importing drugs,0
South Eastern,Snowy River,Drug offences,Other drug offences,165
South Eastern,Snowy River,Prohibited and regulated weapons offences,,354
South Eastern,Snowy River,Disorderly conduct,Trespass,246
South Eastern,Snowy River,Disorderly conduct,Offensive conduct,747
South Eastern,Snowy River,Disorderly conduct,Offensive language,230
South Eastern,Snowy River,Disorderly conduct,Criminal intent,26
South Eastern,Snowy River,Betting and gaming offences,,39
South Eastern,Snowy River,Liquor offences,,1598
South Eastern,Snowy River,Pornography offences,,2
South Eastern,Snowy River,Prostitution offences,,0
South Eastern,Snowy River,Against justice procedures,Escape custody,5
South Eastern,Snowy River,Against justice procedures,Breach Apprehended Violence Order,109
South Eastern,Snowy River,Against justice procedures,Breach bail conditions,55
South Eastern,Snowy River,Against justice procedures,Fail to appear,6
South Eastern,Snowy River,Against justice procedures,Resist or hinder officer,200
South Eastern,Snowy River,Against justice procedures,Other offences against justice procedures,22
South Eastern,Snowy River,Transport regulatory offences,,17
South Eastern,Snowy River,Other offences,,1210
South Eastern,Upper Lachlan Shire,Homicide,Murder (a),3
South Eastern,Upper Lachlan Shire,Homicide,Attempted murder,3
South Eastern,Upper Lachlan Shire,Homicide,"Murder accessory, conspiracy",0
South Eastern,Upper Lachlan Shire,Homicide,Manslaughter (a),1
South Eastern,Upper Lachlan Shire,Assault,Domestic violence related assault,238
South Eastern,Upper Lachlan Shire,Assault,Non-domestic violence related assault,403
South Eastern,Upper Lachlan Shire,Assault,Assault Police,31
South Eastern,Upper Lachlan Shire,Sexual offences,Sexual assault,67
South Eastern,Upper Lachlan Shire,Sexual offences,"Indecent assault, act of indecency and other sexual offences",132
South Eastern,Upper Lachlan Shire,Abduction and kidnapping,,1
South Eastern,Upper Lachlan Shire,Robbery,Robbery without a weapon,2
South Eastern,Upper Lachlan Shire,Robbery,Robbery with a firearm,0
South Eastern,Upper Lachlan Shire,Robbery,Robbery with a weapon not a firearm,0
South Eastern,Upper Lachlan Shire,Blackmail and extortion,,0
South Eastern,Upper Lachlan Shire,"Harassment, threatening behaviour and private nuisance",,376
South Eastern,Upper Lachlan Shire,Other offences against the person,,24
South Eastern,Upper Lachlan Shire,Theft,Break and enter dwelling,538
South Eastern,Upper Lachlan Shire,Theft,Break and enter non-dwelling,584
South Eastern,Upper Lachlan Shire,Theft,Receiving or handling stolen goods,77
South Eastern,Upper Lachlan Shire,Theft,Motor vehicle theft,175
South Eastern,Upper Lachlan Shire,Theft,Steal from motor vehicle,370
South Eastern,Upper Lachlan Shire,Theft,Steal from retail store,47
South Eastern,Upper Lachlan Shire,Theft,Steal from dwelling,456
South Eastern,Upper Lachlan Shire,Theft,Steal from person,10
South Eastern,Upper Lachlan Shire,Theft,Stock theft,368
South Eastern,Upper Lachlan Shire,Theft,Fraud,269
South Eastern,Upper Lachlan Shire,Theft,Other theft,629
South Eastern,Upper Lachlan Shire,Arson,,48
South Eastern,Upper Lachlan Shire,Malicious damage to property,,1415
South Eastern,Upper Lachlan Shire,Drug offences,Possession and/or use of cocaine,1
South Eastern,Upper Lachlan Shire,Drug offences,Possession and/or use of narcotics,6
South Eastern,Upper Lachlan Shire,Drug offences,Possession and/or use of cannabis,254
South Eastern,Upper Lachlan Shire,Drug offences,Possession and/or use of amphetamines,30
South Eastern,Upper Lachlan Shire,Drug offences,Possession and/or use of ecstasy,8
South Eastern,Upper Lachlan Shire,Drug offences,Possession and/or use of other drugs,9
South Eastern,Upper Lachlan Shire,Drug offences,"Dealing, trafficking in cocaine",1
South Eastern,Upper Lachlan Shire,Drug offences,"Dealing, trafficking in narcotics",2
South Eastern,Upper Lachlan Shire,Drug offences,"Dealing, trafficking in cannabis",34
South Eastern,Upper Lachlan Shire,Drug offences,"Dealing, trafficking in amphetamines",11
South Eastern,Upper Lachlan Shire,Drug offences,"Dealing, trafficking in ecstasy",1
South Eastern,Upper Lachlan Shire,Drug offences,"Dealing, trafficking in other drugs",0
South Eastern,Upper Lachlan Shire,Drug offences,Cultivating cannabis,82
South Eastern,Upper Lachlan Shire,Drug offences,Manufacture drug,19
South Eastern,Upper Lachlan Shire,Drug offences,Importing drugs,2
South Eastern,Upper Lachlan Shire,Drug offences,Other drug offences,119
South Eastern,Upper Lachlan Shire,Prohibited and regulated weapons offences,,308
South Eastern,Upper Lachlan Shire,Disorderly conduct,Trespass,302
South Eastern,Upper Lachlan Shire,Disorderly conduct,Offensive conduct,107
South Eastern,Upper Lachlan Shire,Disorderly conduct,Offensive language,73
South Eastern,Upper Lachlan Shire,Disorderly conduct,Criminal intent,21
South Eastern,Upper Lachlan Shire,Betting and gaming offences,,5
South Eastern,Upper Lachlan Shire,Liquor offences,,294
South Eastern,Upper Lachlan Shire,Pornography offences,,5
South Eastern,Upper Lachlan Shire,Prostitution offences,,0
South Eastern,Upper Lachlan Shire,Against justice procedures,Escape custody,1
South Eastern,Upper Lachlan Shire,Against justice procedures,Breach Apprehended Violence Order,91
South Eastern,Upper Lachlan Shire,Against justice procedures,Breach bail conditions,47
South Eastern,Upper Lachlan Shire,Against justice procedures,Fail to appear,11
South Eastern,Upper Lachlan Shire,Against justice procedures,Resist or hinder officer,76
South Eastern,Upper Lachlan Shire,Against justice procedures,Other offences against justice procedures,23
South Eastern,Upper Lachlan Shire,Transport regulatory offences,,10
South Eastern,Upper Lachlan Shire,Other offences,,565
South Eastern,Yass Valley,Homicide,Murder (a),4
South Eastern,Yass Valley,Homicide,Attempted murder,0
South Eastern,Yass Valley,Homicide,"Murder accessory, conspiracy",0
South Eastern,Yass Valley,Homicide,Manslaughter (a),1
South Eastern,Yass Valley,Assault,Domestic violence related assault,615
South Eastern,Yass Valley,Assault,Non-domestic violence related assault,1213
South Eastern,Yass Valley,Assault,Assault Police,89
South Eastern,Yass Valley,Sexual offences,Sexual assault,178
South Eastern,Yass Valley,Sexual offences,"Indecent assault, act of indecency and other sexual offences",262
South Eastern,Yass Valley,Abduction and kidnapping,,2
South Eastern,Yass Valley,Robbery,Robbery without a weapon,15
South Eastern,Yass Valley,Robbery,Robbery with a firearm,3
South Eastern,Yass Valley,Robbery,Robbery with a weapon not a firearm,4
South Eastern,Yass Valley,Blackmail and extortion,,2
South Eastern,Yass Valley,"Harassment, threatening behaviour and private nuisance",,588
South Eastern,Yass Valley,Other offences against the person,,39
South Eastern,Yass Valley,Theft,Break and enter dwelling,868
South Eastern,Yass Valley,Theft,Break and enter non-dwelling,1098
South Eastern,Yass Valley,Theft,Receiving or handling stolen goods,239
South Eastern,Yass Valley,Theft,Motor vehicle theft,382
South Eastern,Yass Valley,Theft,Steal from motor vehicle,915
South Eastern,Yass Valley,Theft,Steal from retail store,284
South Eastern,Yass Valley,Theft,Steal from dwelling,980
South Eastern,Yass Valley,Theft,Steal from person,55
South Eastern,Yass Valley,Theft,Stock theft,229
South Eastern,Yass Valley,Theft,Fraud,1093
South Eastern,Yass Valley,Theft,Other theft,1293
South Eastern,Yass Valley,Arson,,148
South Eastern,Yass Valley,Malicious damage to property,,3296
South Eastern,Yass Valley,Drug offences,Possession and/or use of cocaine,10
South Eastern,Yass Valley,Drug offences,Possession and/or use of narcotics,14
South Eastern,Yass Valley,Drug offences,Possession and/or use of cannabis,691
South Eastern,Yass Valley,Drug offences,Possession and/or use of amphetamines,179
South Eastern,Yass Valley,Drug offences,Possession and/or use of ecstasy,19
South Eastern,Yass Valley,Drug offences,Possession and/or use of other drugs,81
South Eastern,Yass Valley,Drug offences,"Dealing, trafficking in cocaine",1
South Eastern,Yass Valley,Drug offences,"Dealing, trafficking in narcotics",1
