Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Inner Sydney,Sydney,Against justice procedures,Breach bail conditions,33633
Inner Sydney,Sydney,Against justice procedures,Fail to appear,3561
Inner Sydney,Sydney,Against justice procedures,Resist or hinder officer,13746
Inner Sydney,Sydney,Against justice procedures,Other offences against justice procedures,4485
Inner Sydney,Sydney,Transport regulatory offences,,47066
Inner Sydney,Sydney,Other offences,,27708
Eastern Suburbs,Randwick,Homicide,Murder (a),42
Eastern Suburbs,Randwick,Homicide,Attempted murder,13
Eastern Suburbs,Randwick,Homicide,"Murder accessory, conspiracy",3
Eastern Suburbs,Randwick,Homicide,Manslaughter (a),8
Eastern Suburbs,Randwick,Assault,Domestic violence related assault,7057
Eastern Suburbs,Randwick,Assault,Non-domestic violence related assault,13926
Eastern Suburbs,Randwick,Assault,Assault Police,1018
Eastern Suburbs,Randwick,Sexual offences,Sexual assault,900
Eastern Suburbs,Randwick,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1491
Eastern Suburbs,Randwick,Abduction and kidnapping,,96
Eastern Suburbs,Randwick,Robbery,Robbery without a weapon,2870
Eastern Suburbs,Randwick,Robbery,Robbery with a firearm,344
Eastern Suburbs,Randwick,Robbery,Robbery with a weapon not a firearm,1397
Eastern Suburbs,Randwick,Blackmail and extortion,,30
Eastern Suburbs,Randwick,"Harassment, threatening behaviour and private nuisance",,6159
Eastern Suburbs,Randwick,Other offences against the person,,348
Eastern Suburbs,Randwick,Theft,Break and enter dwelling,28685
Eastern Suburbs,Randwick,Theft,Break and enter non-dwelling,7105
Eastern Suburbs,Randwick,Theft,Receiving or handling stolen goods,1988
Eastern Suburbs,Randwick,Theft,Motor vehicle theft,15360
Eastern Suburbs,Randwick,Theft,Steal from motor vehicle,26920
Eastern Suburbs,Randwick,Theft,Steal from retail store,4507
Eastern Suburbs,Randwick,Theft,Steal from dwelling,9155
Eastern Suburbs,Randwick,Theft,Steal from person,5012
Eastern Suburbs,Randwick,Theft,Stock theft,17
Eastern Suburbs,Randwick,Theft,Fraud,13888
Eastern Suburbs,Randwick,Theft,Other theft,20276
Eastern Suburbs,Randwick,Arson,,999
Eastern Suburbs,Randwick,Malicious damage to property,,32331
Eastern Suburbs,Randwick,Drug offences,Possession and/or use of cocaine,249
Eastern Suburbs,Randwick,Drug offences,Possession and/or use of narcotics,198
Eastern Suburbs,Randwick,Drug offences,Possession and/or use of cannabis,2829
Eastern Suburbs,Randwick,Drug offences,Possession and/or use of amphetamines,672
Eastern Suburbs,Randwick,Drug offences,Possession and/or use of ecstasy,1075
Eastern Suburbs,Randwick,Drug offences,Possession and/or use of other drugs,428
Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in cocaine",114
Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in narcotics",302
Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in cannabis",138
Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in amphetamines",130
Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in ecstasy",171
Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in other drugs",34
Eastern Suburbs,Randwick,Drug offences,Cultivating cannabis,150
Eastern Suburbs,Randwick,Drug offences,Manufacture drug,11
Eastern Suburbs,Randwick,Drug offences,Importing drugs,20
Eastern Suburbs,Randwick,Drug offences,Other drug offences,760
Eastern Suburbs,Randwick,Prohibited and regulated weapons offences,,1684
Eastern Suburbs,Randwick,Disorderly conduct,Trespass,2121
Eastern Suburbs,Randwick,Disorderly conduct,Offensive conduct,1314
Eastern Suburbs,Randwick,Disorderly conduct,Offensive language,1392
Eastern Suburbs,Randwick,Disorderly conduct,Criminal intent,973
Eastern Suburbs,Randwick,Betting and gaming offences,,22
Eastern Suburbs,Randwick,Liquor offences,,3272
Eastern Suburbs,Randwick,Pornography offences,,40
Eastern Suburbs,Randwick,Prostitution offences,,10
Eastern Suburbs,Randwick,Against justice procedures,Escape custody,104
Eastern Suburbs,Randwick,Against justice procedures,Breach Apprehended Violence Order,3344
Eastern Suburbs,Randwick,Against justice procedures,Breach bail conditions,11625
Eastern Suburbs,Randwick,Against justice procedures,Fail to appear,425
Eastern Suburbs,Randwick,Against justice procedures,Resist or hinder officer,2013
Eastern Suburbs,Randwick,Against justice procedures,Other offences against justice procedures,431
Eastern Suburbs,Randwick,Transport regulatory offences,,1091
Eastern Suburbs,Randwick,Other offences,,3339
Eastern Suburbs,Waverley,Homicide,Murder (a),9
Eastern Suburbs,Waverley,Homicide,Attempted murder,7
Eastern Suburbs,Waverley,Homicide,"Murder accessory, conspiracy",0
Eastern Suburbs,Waverley,Homicide,Manslaughter (a),3
Eastern Suburbs,Waverley,Assault,Domestic violence related assault,2999
Eastern Suburbs,Waverley,Assault,Non-domestic violence related assault,9049
Eastern Suburbs,Waverley,Assault,Assault Police,591
Eastern Suburbs,Waverley,Sexual offences,Sexual assault,525
Eastern Suburbs,Waverley,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1219
Eastern Suburbs,Waverley,Abduction and kidnapping,,53
Eastern Suburbs,Waverley,Robbery,Robbery without a weapon,1252
Eastern Suburbs,Waverley,Robbery,Robbery with a firearm,127
Eastern Suburbs,Waverley,Robbery,Robbery with a weapon not a firearm,539
Eastern Suburbs,Waverley,Blackmail and extortion,,17
Eastern Suburbs,Waverley,"Harassment, threatening behaviour and private nuisance",,3364
